name	version	license	source
aho-corasick	1.1.5	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
annotate-snippets	0.12.16	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anstream	1.0.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anstyle	1.0.14	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anstyle-parse	1.0.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anstyle-query	1.1.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anstyle-wincon	3.0.11	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anyhow	1.0.104	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
arraydeque	0.5.1	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
arrayvec	0.7.8	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
asn1-rs	0.7.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
asn1-rs-derive	0.6.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
asn1-rs-impl	0.2.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
atomic-polyfill	1.0.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
autocfg	1.5.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
autotools	0.2.7	MIT	registry+https://github.com/rust-lang/crates.io-index
base64	0.22.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
bit-vec	0.9.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
bitflags	1.3.2	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
bitflags	2.13.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
blake3	1.8.7	CC0-1.0 OR Apache-2.0 OR Apache-2.0 WITH LLVM-exception	registry+https://github.com/rust-lang/crates.io-index
bumpalo	3.20.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
byteorder	1.5.0	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
bytes	1.12.1	MIT	registry+https://github.com/rust-lang/crates.io-index
cc	1.4.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cfg-if	1.0.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cfg_aliases	0.2.2	MIT	registry+https://github.com/rust-lang/crates.io-index
chacha20	0.10.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
clap	4.6.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
clap_builder	4.6.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
clap_complete	4.6.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
clap_derive	4.6.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
clap_lex	1.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cobs	0.3.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
colorchoice	1.0.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
constant_time_eq	0.4.2	CC0-1.0 OR MIT-0 OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cpufeatures	0.3.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
crc32fast	1.5.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
critical-section	1.2.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
data-encoding	2.11.1	MIT	registry+https://github.com/rust-lang/crates.io-index
der-parser	10.0.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
deranged	0.5.8	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
displaydoc	0.2.7	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
either	1.18.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
embedded-io	0.4.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
embedded-io	0.6.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
encoding_rs	0.8.35	(Apache-2.0 OR MIT) AND BSD-3-Clause	registry+https://github.com/rust-lang/crates.io-index
encoding_rs_io	0.1.8	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
equivalent	1.0.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
erased-serde	0.3.31	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
errno	0.3.14	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
fastrand	2.5.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
find-msvc-tools	0.1.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
fixedbitset	0.4.2	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
fs2	0.4.3	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
futures-core	0.3.34	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
futures-task	0.3.34	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
futures-util	0.3.34	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
getrandom	0.2.17	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
